product_name,price,gender_classification,age_range
ACID BLACK INDU,₱350 - ₱450,,
Black White x Rust Brown White Stripes Tee's,₱450 - ₱500,,
CLASSIC STRIPED TEES,₱450 - ₱550,,
COMBI ASH GRAY BLACKNECK,₱430 - ₱480,,
COMBI JADE BLUE BLACKNECK,₱430 - ₱480,,
Combi Red x Black Goods x INDU Plain Crewneck,₱430 - ₱500,,
COMBination Applegreen Yellowneck INDU Crewneck Shirt,₱430 - ₱500,,
Combination Crewneck Navyblue and Yellow,₱430,,
COMBINATION SLATEBLUE BLACKNECK,₱430 - ₱530,,
Dipaning Altee INDU Shirts,₱300,,
EMBROIDERED INDU LOGO TEE,₱550 - ₱600,,
GALAXY EXPLORATION INDU SHIRT,₱680 - ₱750,,
Goods Supply Crewneck INDU Shirt,₱400,,
HGG SCRIPT TEES BY INDU,₱350 - ₱400,,
HMGRWN GOODS ANGELES CITY CREWNECK INDU Shirt,₱530 - ₱580,,
HMGRWN INDU Glow in the Dark Crewneck Shirt,₱470,,
HMGRWN INDU Longsleeve,₱530 - ₱580,,
INDU BLACK WHITE AND OFF WHITE,₱350,,
INDU CAMOUFLAGE & TRI COLOUR BACKPACK,₱550,,
INDU Camouflage Beltbag,₱400,,
INDU COMBI OLIVE GREEN KHAKI GRAY AND OFF WHITE,₱430,,
INDU KHAKI BEIGE LIGHT CHOCO AND RUST BROWN,₱350 - ₱450,,
INDU KULITAN SCRIPT LONG SLEEVES,₱550 - ₱650,,
INDU MAROON RED MAROON AND RED,₱350,,
INDU MOSS GREEN JADE GREEN CACHA AND GRAY,₱350 - ₱450,,
INDU Nakisam ALAYA SHIRTS,₱450 - ₱550,,
INDU REPRESENT CARGO SHORTS,₱400 - ₱450,,
INDU RISE ABOVE BLACK WHITE MOSS KHAKI PEACH AND CHOCO,₱450 - ₱550,,
INDU SCRIPT CREWNECK TEE'S,₱450,,
INDU STREETWEAR COLLECTIONS,₱500 - ₱630,,
INNERKID MARUPOK SHIRT,₱350,,
Lugud Shirt,₱500,,
MANTUN KANG BRAND NEW INDU SHIRT,₱450,,
ORANGE PLAIN INDU Crewneck Shirt,₱350 - ₱400,,
PacMan Crewneck Shirt,₱450,,
Pampanga Represent INDU Crewneck Shirt,₱470,,
PASTEL CREWNECK SHIRTS,₱450,,
Ringer Tees by INDU,₱390,,
SICLUBAN INDU HOODIE,₱1500,,
Squid Game INDU,₱450 - ₱550,,
STUNA MARS INDU SHIRT,₱450,,
YAKU NAMU ING LUGURAN MU INDU SHIRT,₱450,,

